,pred1
643,0.25467125
644,0.24083753
645,0.25126696
646,0.23386462
647,0.25744587
648,0.24083753
649,0.25126696
650,0.24664785
651,0.23386462
652,0.24083753
653,0.25467125
654,0.24664785
655,0.24664785
656,0.23386462
657,0.23386462
658,0.22576205
659,0.25684276
660,0.24664785
661,0.23386462
662,0.23386462
663,0.25467125
664,0.24664785
665,0.24664785
666,0.25126696
667,0.25587302
668,0.25126696
669,0.24664785
670,0.22576205
671,0.23386462
672,0.25126696
673,0.25126696
674,0.22576205
675,0.24083753
676,0.25467125
677,0.24083753
678,0.24083753
679,0.24083753
680,0.25467125
681,0.23386462
682,0.24664785
683,0.23386462
684,0.25684276
685,0.25126696
686,0.24664785
687,0.25126696
688,0.25684276
689,0.25467125
690,0.25126696
691,0.24664785
692,0.24083753
693,0.25684276
694,0.2165664
695,0.24664785
696,0.24083753
697,0.25126696
698,0.24664785
699,0.23386462
700,0.23386462
701,0.24083753
702,0.25684273
703,0.25467125
704,0.22576205
705,0.25776947
706,0.24083753
707,0.24664785
708,0.24664785
709,0.25126696
710,0.22576205
711,0.23386462
712,0.25126696
713,0.24083753
714,0.23386462
715,0.24664785
716,0.24083753
717,0.24664785
718,0.24664785
719,0.24083753
720,0.22576205
721,0.25126696
722,0.24664785
723,0.25776947
724,0.23386462
725,0.24664785
726,0.24083753
727,0.24083753
728,0.22576205
729,0.22576205
730,0.2165664
731,0.25684276
732,0.23386462
733,0.2165664
734,0.22576205
735,0.21656641
736,0.23386462
737,0.22576205
738,0.23386462
739,0.2165664
740,0.25126696
741,0.24083753
742,0.25467125
743,0.24664785
744,0.23386462
745,0.24664785
746,0.23386462
747,0.23386462
748,0.24664785
749,0.24083753
750,0.23386462
751,0.23386462
752,0.24083753
753,0.23386462
754,0.23386462
755,0.24664785
756,0.24083753
757,0.24664785
758,0.24664785
759,0.22576205
760,0.24664785
761,0.23386462
762,0.25467125
763,0.25467125
764,0.25126696
765,0.22576205
766,0.24664783
767,0.22576205
768,0.24664785
769,0.24664785
770,0.22576205
771,0.25126696
772,0.25467125
773,0.24083753
774,0.24664785
775,0.24083753
776,0.24083753
777,0.24664785
778,0.24083753
779,0.24664785
780,0.25684276
781,0.24083753
782,0.25467125
783,0.22576205
784,0.24083753
785,0.23386462
786,0.24083753
787,0.25126696
788,0.25467125
789,0.24083753
790,0.24664785
791,0.25126696
792,0.24083753
793,0.24664785
794,0.24664785
795,0.25467125
796,0.23386462
797,0.24664785
798,0.24083753
799,0.25126696
800,0.24083753
801,0.24083753
802,0.24083753
803,0.24083753
804,0.24664785
805,0.25467125
806,0.25776947
807,0.24664785
808,0.24664785
809,0.23386462
810,0.25126696
811,0.24664785
812,0.24083753
813,0.22576205
814,0.22576205
815,0.22576205
816,0.25467125
817,0.2165664
818,0.23386462
819,0.2165664
820,0.24664785
821,0.25467125
822,0.22576205
823,0.24083753
824,0.24083753
825,0.23386462
826,0.22576205
827,0.24083753
828,0.24901728
829,0.24083753
830,0.24664783
831,0.24664783
